idx,issue_time,comp_time,cmd_type,lba,size(KB),latency(us),queue_cnt,cpu_no,host_no,tag,nextlba,continuity
1,3031.044846,3031.046224,WRITE_10,4327424,696,1378,1,000,1,4,4328816,0
2,3031.045100,3031.046870,WRITE_10,4328816,352,1770,2,000,1,5,4329520,1
3,3031.045106,3031.048188,WRITE_10,4329520,672,3082,3,000,1,6,4330864,1
4,3031.045365,3031.048817,WRITE_10,4330864,352,3452,4,000,1,7,4331568,1
5,3031.048854,3031.050213,WRITE_10,4331568,676,1359,1,000,1,8,4332920,1
6,3031.049128,3031.050848,WRITE_10,4332920,352,1720,2,000,1,9,4333624,1
7,3031.049133,3031.052144,WRITE_10,4333624,680,3011,3,000,1,10,4334984,1
8,3031.049390,3031.052812,WRITE_10,4334984,352,3422,4,000,1,11,4335688,1
9,3031.052845,3031.054194,WRITE_10,4335688,672,1349,1,000,1,13,4337032,1
10,3031.053193,3031.054831,WRITE_10,4337032,352,1638,2,000,1,14,4337736,1
11,3031.053199,3031.056158,WRITE_10,4337736,672,2959,3,000,1,15,4339080,1
12,3031.053657,3031.057030,WRITE_10,4339080,480,3373,4,000,1,16,4340040,1
13,3031.057066,3031.059566,WRITE_10,4340040,1280,2500,1,000,1,17,4342600,1
14,3031.057838,3031.060677,WRITE_10,4342600,604,2839,2,000,1,18,4343808,1
15,3031.057845,3031.063159,WRITE_10,4360192,1280,5314,3,000,1,19,4362752,0
16,3031.057965,3031.064770,WRITE_10,4362752,844,6805,4,000,1,20,4364440,1
17,3031.064862,3031.065775,WRITE_10,4364440,464,913,1,000,1,21,4365368,1
18,3031.137555,3031.137663,WRITE_10,13448360,4,108,1,006,1,13,13448368,0
19,3031.137806,3031.137949,WRITE_10,248816304,68,143,1,000,1,22,248816440,0
20,3031.137984,3031.138754,SYNCHRONIZE_CACHE,0,0,770,1,000,1,23,0,0
21,3031.138769,3031.138789,WRITE_10,248816440,4,20,1,002,1,3,248816448,0
22,3031.138798,3031.139453,SYNCHRONIZE_CACHE,0,0,655,1,002,1,4,0,0
23,3031.139686,3031.139774,WRITE_10,248816448,40,88,1,002,1,5,248816528,0
24,3031.139799,3031.140499,SYNCHRONIZE_CACHE,0,0,700,1,002,1,6,0,0
25,3031.140506,3031.140526,WRITE_10,248816528,4,20,1,002,1,7,248816536,0
26,3031.140531,3031.141184,SYNCHRONIZE_CACHE,0,0,653,1,002,1,8,0,0
27,3031.141367,3031.141389,WRITE_10,13448368,4,22,1,006,1,14,13448376,0
28,3031.141484,3031.141557,WRITE_10,248816536,32,73,1,002,1,9,248816600,0
29,3031.141575,3031.142278,SYNCHRONIZE_CACHE,0,0,703,1,002,1,10,0,0
30,3031.142284,3031.142303,WRITE_10,248816600,4,19,1,002,1,11,248816608,0
31,3031.142309,3031.143031,SYNCHRONIZE_CACHE,0,0,722,1,002,1,12,0,0
32,3031.143161,3031.143248,WRITE_10,248816608,40,87,1,002,1,15,248816688,0
33,3031.143269,3031.143960,SYNCHRONIZE_CACHE,0,0,691,1,002,1,16,0,0
34,3031.143966,3031.143986,WRITE_10,248816688,4,20,1,002,1,17,248816696,0
35,3031.143992,3031.144654,SYNCHRONIZE_CACHE,0,0,662,1,002,1,18,0,0
36,3031.145673,3031.145694,WRITE_10,320081960,4,21,1,006,1,15,320081968,0
37,3031.145746,3031.145782,WRITE_10,248816696,12,36,1,002,1,19,248816720,0
38,3031.145804,3031.146457,SYNCHRONIZE_CACHE,0,0,653,1,002,1,20,0,0
39,3031.146465,3031.146485,WRITE_10,248816720,4,20,1,002,1,21,248816728,0
40,3031.146491,3031.147222,SYNCHRONIZE_CACHE,0,0,731,1,002,1,22,0,0
41,3033.612321,3033.614211,READ_10,330857936,24,1890,1,006,1,16,330857984,0
42,3033.614323,3033.614602,READ_10,61484952,72,279,1,006,1,23,61485096,0
43,3033.615049,3033.615176,READ_10,61488896,16,127,1,006,1,24,61488928,0
44,3033.642570,3033.642665,READ_10,61486208,12,95,1,006,1,25,61486232,0
45,3033.642578,3033.642673,READ_10,61486240,4,95,2,006,1,26,61486248,0
46,3033.642604,3033.642690,READ_10,61486336,4,86,3,006,1,27,61486344,0
47,3033.642709,3033.642832,READ_10,61483712,4,123,1,006,1,28,61483720,0
48,3033.642748,3033.642994,READ_10,61483776,64,246,2,006,1,29,61483904,0
49,3033.643630,3033.643752,READ_10,190404096,8,122,1,007,1,7,190404112,0
51,3033.643682,3033.643967,READ_10,190404160,68,285,3,007,1,9,190404296,0
50,3033.643638,3033.643975,READ_10,190404128,4,337,2,007,1,8,190404136,0
52,3036.162732,3036.164506,WRITE_10,248816728,64,1774,1,002,1,23,248816856,0
53,3036.164598,3036.165318,SYNCHRONIZE_CACHE,0,0,720,1,002,1,30,0,0
54,3036.165327,3036.165348,WRITE_10,248816856,4,21,1,002,1,0,248816864,0
55,3036.165356,3036.166019,SYNCHRONIZE_CACHE,0,0,663,1,002,1,1,0,0
56,3036.234458,3036.234539,WRITE_10,118770104,4,81,1,002,1,2,118770112,0
57,3036.234506,3036.234550,WRITE_10,330876816,4,44,2,004,1,18,330876824,0
58,3036.234509,3036.234560,WRITE_10,330878928,4,51,3,004,1,19,330878936,0
59,3036.234510,3036.234572,WRITE_10,330878984,4,62,4,004,1,20,330878992,0
60,3036.234511,3036.234581,WRITE_10,330879424,4,70,5,004,1,21,330879432,0
61,3036.234513,3036.234591,WRITE_10,330880768,4,78,6,004,1,22,330880776,0
62,3036.234514,3036.234601,WRITE_10,330881768,4,87,7,004,1,23,330881776,0
63,3036.234515,3036.234612,WRITE_10,330882232,4,97,8,004,1,31,330882240,0
64,3036.234681,3036.234726,WRITE_10,330883944,16,45,1,004,1,3,330883976,0
65,3036.234685,3036.234737,WRITE_10,330884216,4,52,2,004,1,4,330884224,0
66,3036.234685,3036.234748,WRITE_10,330884256,4,63,3,004,1,5,330884264,0
67,3036.234686,3036.234782,WRITE_10,330884288,16,96,4,004,1,6,330884320,0
68,3036.234687,3036.234809,WRITE_10,330884344,12,122,5,004,1,7,330884368,0
69,3036.234688,3036.234820,WRITE_10,330884384,4,132,6,004,1,10,330884392,0
70,3036.234689,3036.234830,WRITE_10,330884408,4,141,7,004,1,11,330884416,0
71,3036.234808,3036.235225,WRITE_10,138077464,204,417,4,004,1,12,138077872,0
72,3036.235298,3036.235328,WRITE_10,330884424,8,30,1,004,1,13,330884440,0
73,3036.235301,3036.235369,WRITE_10,330884456,20,68,2,004,1,14,330884496,0
74,3036.235302,3036.235381,WRITE_10,330884520,4,79,3,004,1,15,330884528,0
75,3036.235303,3036.235392,WRITE_10,330884536,4,89,4,004,1,16,330884544,0
76,3036.235304,3036.235404,WRITE_10,330884592,4,100,5,004,1,17,330884600,0
77,3036.235305,3036.235430,WRITE_10,330884616,12,125,6,004,1,18,330884640,0
78,3036.235305,3036.235442,WRITE_10,330884664,4,137,7,004,1,19,330884672,0
79,3036.235346,3036.235634,WRITE_10,211356240,100,288,7,007,1,10,211356440,0
80,3036.235711,3036.235733,WRITE_10,330884688,4,22,1,004,1,20,330884696,0
81,3036.235714,3036.235775,WRITE_10,330884712,20,61,2,004,1,21,330884752,0
82,3036.235715,3036.235787,WRITE_10,330884768,4,72,3,004,1,22,330884776,0
83,3036.235716,3036.235828,WRITE_10,330884792,20,112,4,004,1,23,330884832,0
84,3036.235725,3036.235840,WRITE_10,54823776,4,115,5,007,1,11,54823784,0
85,3036.235728,3036.235873,WRITE_10,54823808,16,145,6,007,1,12,54823840,0
86,3036.235730,3036.235884,WRITE_10,54824032,4,154,7,007,1,13,54824040,0
87,3036.235731,3036.235917,WRITE_10,54824064,16,186,8,007,1,14,54824096,0
88,3036.236028,3036.236051,WRITE_10,320081960,4,23,1,002,1,3,320081968,0
89,3036.236032,3036.236063,WRITE_10,330844064,4,31,2,002,1,4,330844072,0
90,3036.236033,3036.236074,WRITE_10,190411544,4,41,3,002,1,5,190411552,0
91,3036.236034,3036.236085,WRITE_10,190412728,4,51,4,002,1,6,190412736,0
92,3036.236036,3036.236097,WRITE_10,190412744,4,61,5,002,1,7,190412752,0
93,3036.236037,3036.236115,WRITE_10,190413088,8,78,6,002,1,8,190413104,0
94,3036.236039,3036.236158,WRITE_10,190413480,20,119,7,002,1,9,190413520,0
95,3036.236039,3036.236167,WRITE_10,54977568,4,128,8,002,1,10,54977576,0
96,3036.236278,3036.236310,WRITE_10,330844272,8,32,1,003,1,19,330844288,0
97,3036.236284,3036.236322,WRITE_10,330844472,4,38,2,003,1,20,330844480,0
98,3036.236285,3036.236333,WRITE_10,330844640,4,48,3,003,1,21,330844648,0
99,3036.236286,3036.236345,WRITE_10,330844824,4,59,4,003,1,22,330844832,0
100,3036.236288,3036.236356,WRITE_10,330845016,4,68,5,003,1,23,330845024,0
101,3036.236289,3036.236367,WRITE_10,330845112,4,78,6,003,1,24,330845120,0
102,3036.236290,3036.236379,WRITE_10,330845248,4,89,7,003,1,25,330845256,0
103,3036.236291,3036.236389,WRITE_10,330845264,4,98,8,003,1,26,330845272,0
104,3036.236460,3036.236482,WRITE_10,330845296,4,22,1,003,1,27,330845304,0
105,3036.236463,3036.236493,WRITE_10,330845672,4,30,2,003,1,28,330845680,0
106,3036.236464,3036.236505,WRITE_10,330845776,4,41,3,003,1,29,330845784,0
107,3036.236465,3036.236516,WRITE_10,330846064,4,51,4,003,1,30,330846072,0
108,3036.236465,3036.236528,WRITE_10,330846376,4,63,5,003,1,0,330846384,0
109,3036.236468,3036.236540,WRITE_10,330846552,4,72,6,003,1,1,330846560,0
110,3036.236469,3036.236551,WRITE_10,330846752,4,82,7,003,1,2,330846760,0
111,3036.236470,3036.236561,WRITE_10,330846784,4,91,8,003,1,3,330846792,0
112,3036.236618,3036.236640,WRITE_10,330846848,4,22,1,003,1,4,330846856,0
113,3036.236621,3036.236651,WRITE_10,330846872,4,30,2,003,1,5,330846880,0
114,3036.236622,3036.236670,WRITE_10,330847096,8,48,3,003,1,6,330847112,0
115,3036.236623,3036.236681,WRITE_10,330847176,4,58,4,003,1,7,330847184,0
116,3036.236624,3036.236693,WRITE_10,330847224,4,69,5,003,1,15,330847232,0
117,3036.236626,3036.236704,WRITE_10,330847488,4,78,6,003,1,16,330847496,0
118,3036.236627,3036.236716,WRITE_10,330847744,4,89,7,003,1,17,330847752,0
119,3036.236628,3036.236726,WRITE_10,330848024,4,98,8,003,1,18,330848032,0
120,3036.236787,3036.236809,WRITE_10,330848192,4,22,1,003,1,19,330848200,0
121,3036.236790,3036.236827,WRITE_10,330848560,8,37,2,003,1,20,330848576,0
122,3036.236791,3036.236839,WRITE_10,330848912,4,48,3,003,1,21,330848920,0
123,3036.236792,3036.236850,WRITE_10,330848968,4,58,4,003,1,22,330848976,0
124,3036.236793,3036.236862,WRITE_10,330849016,4,69,5,003,1,23,330849024,0
125,3036.236795,3036.236874,WRITE_10,330849264,4,79,6,003,1,31,330849272,0
126,3036.236796,3036.236885,WRITE_10,330849416,4,89,7,003,1,0,330849424,0
127,3036.236796,3036.236896,WRITE_10,330849552,4,100,8,003,1,1,330849560,0
128,3036.236951,3036.236974,WRITE_10,330849624,4,23,1,003,1,2,330849632,0
129,3036.236954,3036.236985,WRITE_10,330849768,4,31,2,003,1,3,330849776,0
130,3036.236955,3036.236997,WRITE_10,330849840,4,42,3,003,1,4,330849848,0
131,3036.236956,3036.237008,WRITE_10,330849864,4,52,4,003,1,5,330849872,0
132,3036.236957,3036.237019,WRITE_10,330850024,4,62,5,003,1,6,330850032,0
133,3036.236959,3036.237031,WRITE_10,330850152,4,72,6,003,1,7,330850160,0
134,3036.236960,3036.237043,WRITE_10,330850456,4,83,7,003,1,8,330850464,0
135,3036.236961,3036.237053,WRITE_10,330850656,4,92,8,003,1,9,330850664,0
136,3036.237125,3036.237147,WRITE_10,330850704,4,22,1,003,1,10,330850712,0
137,3036.237128,3036.237158,WRITE_10,330851008,4,30,2,003,1,11,330851016,0
138,3036.237129,3036.237170,WRITE_10,330851048,4,41,3,003,1,12,330851056,0
139,3036.237130,3036.237227,WRITE_10,330851192,28,97,4,003,1,13,330851248,0
140,3036.237132,3036.237238,WRITE_10,330855664,4,106,5,003,1,14,330855672,0
141,3036.237133,3036.237250,WRITE_10,330857976,4,117,6,003,1,15,330857984,0
142,3036.237134,3036.237262,WRITE_10,61476296,4,128,7,003,1,16,61476304,0
143,3036.237135,3036.237272,WRITE_10,61479920,4,137,8,003,1,17,61479928,0
144,3036.237328,3036.237350,WRITE_10,61480280,4,22,1,003,1,18,61480288,0
145,3036.237331,3036.237361,WRITE_10,61480472,4,30,2,003,1,19,61480480,0
146,3036.237332,3036.237373,WRITE_10,61480768,4,41,3,003,1,20,61480776,0
147,3036.237333,3036.237384,WRITE_10,61480872,4,51,4,003,1,21,61480880,0
148,3036.237333,3036.237396,WRITE_10,61480968,4,63,5,003,1,22,61480976,0
149,3036.237335,3036.237407,WRITE_10,61481064,4,72,6,003,1,23,61481072,0
150,3036.237336,3036.237419,WRITE_10,61481168,4,83,7,003,1,24,61481176,0
151,3036.237337,3036.237429,WRITE_10,61481264,4,92,8,003,1,25,61481272,0
152,3036.237495,3036.237518,WRITE_10,61482704,4,23,1,003,1,26,61482712,0
153,3036.237498,3036.237536,WRITE_10,61482792,8,38,2,003,1,27,61482808,0
154,3036.237499,3036.237555,WRITE_10,61482816,8,56,3,003,1,28,61482832,0
155,3036.237500,3036.237567,WRITE_10,61482864,4,67,4,003,1,29,61482872,0
156,3036.237501,3036.237578,WRITE_10,61482936,4,77,5,003,1,30,61482944,0
157,3036.237503,3036.237596,WRITE_10,61482952,8,93,6,003,1,0,61482968,0
158,3036.237504,3036.237608,WRITE_10,61482976,4,104,7,003,1,1,61482984,0
159,3036.237505,3036.237625,WRITE_10,61482992,8,120,8,003,1,2,61483008,0
160,3036.237689,3036.237711,WRITE_10,61483016,4,22,1,003,1,3,61483024,0
161,3036.237692,3036.237723,WRITE_10,61483032,4,31,2,003,1,4,61483040,0
162,3036.237693,3036.237741,WRITE_10,61483048,8,48,3,003,1,5,61483064,0
163,3036.237694,3036.237759,WRITE_10,61483072,8,65,4,003,1,6,61483088,0
164,3036.237695,3036.237771,WRITE_10,61483800,4,76,5,003,1,7,61483808,0
165,3036.237697,3036.237783,WRITE_10,61485080,4,86,6,003,1,8,61485088,0
166,3036.237698,3036.237794,WRITE_10,61486216,4,96,7,003,1,9,61486224,0
167,3036.237699,3036.237805,WRITE_10,61486248,4,106,8,003,1,10,61486256,0
168,3036.237888,3036.237910,WRITE_10,61486352,4,22,1,003,1,11,61486360,0
169,3036.237892,3036.237922,WRITE_10,61486536,4,30,2,003,1,12,61486544,0
170,3036.237892,3036.237934,WRITE_10,61487176,4,42,3,003,1,13,61487184,0
171,3036.237893,3036.237945,WRITE_10,61487776,4,52,4,003,1,14,61487784,0
172,3036.237894,3036.237957,WRITE_10,61488072,4,63,5,003,1,15,61488080,0
173,3036.237896,3036.237968,WRITE_10,61488576,4,72,6,003,1,16,61488584,0
174,3036.237897,3036.237987,WRITE_10,61488928,8,90,7,003,1,17,61488944,0
175,3036.237898,3036.237997,WRITE_10,61489632,4,99,8,003,1,18,61489640,0
176,3036.238076,3036.238097,WRITE_10,190400696,4,21,1,002,1,11,190400704,0
177,3036.238079,3036.238109,WRITE_10,190400992,4,30,2,002,1,12,190401000,0
178,3036.238080,3036.238121,WRITE_10,190401088,4,41,3,002,1,13,190401096,0
179,3036.238081,3036.238132,WRITE_10,190401184,4,51,4,002,1,14,190401192,0
180,3036.238081,3036.238144,WRITE_10,190401288,4,63,5,002,1,15,190401296,0
181,3036.238084,3036.238155,WRITE_10,61490888,4,71,6,002,1,19,61490896,0
182,3036.238085,3036.238167,WRITE_10,190400616,4,82,7,002,1,20,190400624,0
183,3036.238086,3036.238177,WRITE_10,190400656,4,91,8,002,1,21,190400664,0
184,3036.238242,3036.238265,WRITE_10,190401384,4,23,1,002,1,22,190401392,0
185,3036.238245,3036.238276,WRITE_10,190401480,4,31,2,002,1,23,190401488,0
186,3036.238246,3036.238287,WRITE_10,190401584,4,41,3,002,1,31,190401592,0
187,3036.238247,3036.238299,WRITE_10,190403152,4,52,4,002,1,0,190403160,0
188,3036.238248,3036.238311,WRITE_10,190403512,4,63,5,002,1,1,190403520,0
189,3036.238250,3036.238322,WRITE_10,190404168,4,72,6,002,1,2,190404176,0
190,3036.238251,3036.238334,WRITE_10,190405616,4,83,7,002,1,3,190405624,0
191,3036.238252,3036.238345,WRITE_10,190406240,4,93,8,002,1,4,190406248,0
192,3036.238402,3036.238423,WRITE_10,190406688,4,21,1,002,1,5,190406696,0
193,3036.238405,3036.238435,WRITE_10,190406728,4,30,2,002,1,6,190406736,0
194,3036.238406,3036.238446,WRITE_10,190406824,4,40,3,002,1,7,190406832,0
195,3036.238406,3036.238458,WRITE_10,190406840,4,52,4,002,1,8,190406848,0
196,3036.238407,3036.238469,WRITE_10,190409296,4,62,5,002,1,9,190409304,0
197,3036.238408,3036.238481,WRITE_10,190410176,4,73,6,002,1,10,190410184,0
198,3036.238410,3036.238493,WRITE_10,190410880,4,83,7,002,1,11,190410888,0
199,3036.238410,3036.238503,WRITE_10,190410904,4,93,8,002,1,12,190410912,0
200,3036.238536,3036.238558,WRITE_10,190411208,4,22,1,002,1,13,190411216,0
201,3037.802171,3037.804080,READ_10,441460992,92,1909,1,002,1,14,441461176,0
203,3037.802178,3037.804145,READ_10,441461184,36,1967,3,002,1,16,441461256,0
202,3037.802177,3037.804153,READ_10,441461176,4,1976,2,002,1,15,441461184,0
204,3037.804201,3037.804269,READ_10,118491144,4,68,1,002,1,17,118491152,0
205,3037.804433,3037.804500,READ_10,54977504,4,67,1,002,1,18,54977512,0
206,3037.807150,3037.807219,READ_10,89449512,4,69,1,002,1,19,89449520,0
207,3037.807286,3037.807353,READ_10,313355160,4,67,1,002,1,20,313355168,0
208,3037.807300,3037.807422,READ_10,313355192,16,122,2,002,1,21,313355224,0
209,3037.807640,3037.807708,READ_10,441527880,4,68,1,002,1,22,441527888,0
210,3037.807867,3037.808096,READ_10,324557056,68,229,1,002,1,23,324557192,0
211,3037.808251,3037.808500,READ_10,313382984,84,249,1,002,1,24,313383152,0
212,3037.809209,3037.809281,READ_10,286329240,4,72,1,004,1,25,286329248,0
213,3037.809466,3037.809632,READ_10,286264064,28,166,1,004,1,26,286264120,0
214,3037.809470,3037.809685,READ_10,286264128,28,215,2,004,1,27,286264184,0
216,3037.809472,3037.809835,READ_10,286264192,68,363,4,004,1,29,286264328,0
215,3037.809471,3037.809844,READ_10,286264184,4,373,3,004,1,28,286264192,0
217,3037.810495,3037.810614,READ_10,89638616,16,119,1,007,1,15,89638648,0
218,3037.811118,3037.811204,READ_10,286359336,4,86,1,007,1,16,286359344,0
219,3037.811331,3037.811400,READ_10,286330240,4,69,1,007,1,17,286330248,0
220,3037.811423,3037.811508,READ_10,286355016,4,85,1,007,1,18,286355024,0
221,3037.811696,3037.811849,READ_10,286277376,24,153,1,007,1,19,286277424,0
222,3037.811700,3037.811857,READ_10,286277424,4,157,2,007,1,20,286277432,1
223,3037.811702,3037.812193,READ_10,286277432,104,491,3,007,1,21,286277640,1
224,3037.811886,3037.812271,READ_10,286358640,4,385,2,007,1,22,286358648,0
225,3037.812313,3037.812463,READ_10,299084312,16,150,1,007,1,23,299084344,0
226,3037.812568,3037.812805,READ_10,299084344,64,237,1,007,1,30,299084472,1
227,3037.813185,3037.813408,READ_10,92620192,72,223,1,007,1,0,92620336,0
228,3037.813597,3037.813775,READ_10,294870936,48,178,1,007,1,1,294871032,0
229,3037.813969,3037.814164,READ_10,307608368,68,195,1,007,1,2,307608504,0
230,3037.814382,3037.814554,READ_10,294870592,52,172,1,007,1,3,294870696,0
231,3037.814727,3037.814830,READ_10,82468832,12,103,1,007,1,4,82468856,0
232,3037.815032,3037.815260,READ_10,114451880,72,228,1,007,1,5,114452024,0
233,3037.815443,3037.815510,READ_10,114487328,4,67,1,007,1,6,114487336,0
234,3037.815452,3037.815519,READ_10,114487384,4,67,2,007,1,7,114487392,0
235,3037.816284,3037.816353,READ_10,144960656,4,69,1,007,1,8,144960664,0
236,3037.816619,3037.816945,READ_10,114451312,128,326,1,007,1,9,114451568,0
237,3037.817446,3037.817514,READ_10,286340576,4,68,1,004,1,31,286340584,0
238,3037.818044,3037.818166,READ_10,2493952,16,122,1,005,1,15,2493984,0
239,3037.818213,3037.818281,READ_10,286358616,4,68,1,005,1,16,286358624,0
240,3037.818476,3037.818846,READ_10,286263808,116,370,1,005,1,17,286264040,0
242,3037.818481,3037.818861,READ_10,286264048,8,380,3,005,1,19,286264064,0
241,3037.818480,3037.818870,READ_10,286264040,4,390,2,005,1,18,286264048,0
243,3037.818896,3037.818965,READ_10,80103424,4,69,1,005,1,20,80103432,0
244,3037.819286,3037.819492,READ_10,80114832,72,206,1,005,1,21,80114976,0
245,3037.819687,3037.820010,READ_10,80114320,128,323,1,005,1,22,80114576,0
246,3037.820327,3037.820570,READ_10,313321128,68,243,1,005,1,23,313321264,0
247,3037.820746,3037.820855,READ_10,114556240,12,109,1,005,1,24,114556264,0
248,3037.821040,3037.821202,READ_10,307496600,36,162,1,005,1,25,307496672,0
249,3037.821634,3037.821959,READ_10,80114576,128,325,1,005,1,26,80114832,0
250,3037.824182,3037.824442,READ_10,313320240,76,260,1,005,1,27,313320392,0
251,3037.824572,3037.824641,READ_10,286329088,4,69,1,005,1,28,286329096,0
252,3037.824673,3037.824756,READ_10,286329256,4,83,1,005,1,29,286329264,0
253,3037.824787,3037.824870,READ_10,286329248,4,83,1,005,1,30,286329256,0
254,3037.824908,3037.824976,READ_10,286352928,4,68,1,005,1,0,286352936,0
255,3037.825000,3037.825067,READ_10,286329992,4,67,1,005,1,1,286330000,0
256,3037.825086,3037.825164,READ_10,286352632,4,78,1,005,1,2,286352640,0
257,3037.825349,3037.825616,READ_10,286267904,68,267,1,005,1,3,286268040,0
258,3037.825352,3037.825625,READ_10,286268040,4,273,2,005,1,4,286268048,1
259,3037.825353,3037.825768,READ_10,286268048,60,415,3,005,1,5,286268168,1
260,3037.825671,3037.825844,READ_10,286335064,4,173,2,005,1,6,286335072,0
261,3037.827321,3037.827407,READ_10,286329120,4,86,1,002,1,31,286329128,0
262,3037.827520,3037.827599,READ_10,286346680,4,79,1,002,1,7,286346688,0
263,3037.827664,3037.827731,READ_10,286352848,4,67,1,002,1,8,286352856,0
264,3037.827803,3037.827884,READ_10,286352792,4,81,1,002,1,9,286352800,0
265,3037.828185,3037.828513,READ_10,286275072,120,328,1,002,1,10,286275312,0
266,3037.828189,3037.828521,READ_10,286275312,4,332,2,002,1,11,286275320,1
267,3037.828190,3037.828538,READ_10,286275320,8,348,3,002,1,12,286275336,1
268,3037.828567,3037.828636,READ_10,286352464,4,69,1,002,1,13,286352472,0
269,3037.828656,3037.828732,READ_10,286352624,4,76,1,002,1,14,286352632,0
270,3037.828783,3037.828862,READ_10,286352640,4,79,1,002,1,15,286352648,0
271,3037.828895,3037.828976,READ_10,286352384,4,81,1,002,1,16,286352392,0
272,3037.829152,3037.829252,READ_10,286267648,12,100,1,002,1,17,286267672,0
273,3037.829155,3037.829261,READ_10,286267672,4,106,2,002,1,18,286267680,1
274,3037.829157,3037.829522,READ_10,286267680,112,365,3,002,1,19,286267904,1
275,3037.829353,3037.829594,READ_10,286352616,4,241,2,002,1,20,286352624,0
276,3037.829781,3037.830077,READ_10,307244288,100,296,1,002,1,21,307244488,0
277,3037.829785,3037.830085,READ_10,307244488,4,300,2,002,1,22,307244496,1
278,3037.829786,3037.830138,READ_10,307244496,28,352,3,002,1,23,307244552,1
279,3037.830121,3037.830210,READ_10,307351512,4,89,2,002,1,24,307351520,0
280,3037.830230,3037.830310,READ_10,307358984,4,80,1,002,1,25,307358992,0
281,3037.830368,3037.830433,READ_10,451174032,4,65,1,002,1,26,451174040,0
282,3037.830627,3037.830706,READ_10,307351520,4,79,1,002,1,27,307351528,0
283,3037.830728,3037.830805,READ_10,307359080,4,77,1,002,1,28,307359088,0
284,3037.830872,3037.831016,READ_10,451173800,36,144,1,002,1,29,451173872,0
285,3037.831732,3037.831841,READ_10,451174040,12,109,1,002,1,30,451174064,0
286,3037.832314,3037.832476,READ_10,307244552,20,162,1,002,1,0,307244592,0
288,3037.832320,3037.832664,READ_10,307244600,104,344,3,002,1,2,307244808,0
287,3037.832318,3037.832672,READ_10,307244592,4,354,2,002,1,1,307244600,0
289,3037.832712,3037.832779,READ_10,451174064,4,67,1,002,1,3,451174072,0
290,3037.833098,3037.833167,READ_10,451174256,4,69,1,002,1,4,451174264,0
291,3037.833330,3037.833414,READ_10,451173656,8,84,1,002,1,5,451173672,0
292,3037.833853,3037.833935,READ_10,307359072,4,82,1,002,1,6,307359080,0
293,3037.834008,3037.834131,READ_10,55315728,20,123,1,002,1,7,55315768,0
294,3037.834470,3037.834624,READ_10,451174416,32,154,1,004,1,0,451174480,0
295,3037.835250,3037.835476,READ_10,286268168,68,226,1,004,1,1,286268304,0
297,3037.835256,3037.835639,READ_10,286268312,56,383,3,004,1,3,286268424,0
296,3037.835255,3037.835647,READ_10,286268304,4,392,2,004,1,2,286268312,0
298,3037.835755,3037.835856,READ_10,451174648,8,101,1,004,1,4,451174664,0
299,3037.836111,3037.836270,READ_10,451173584,36,159,1,004,1,5,451173656,0
300,3037.837201,3037.837311,READ_10,451174480,12,110,1,004,1,6,451174504,0
301,3037.837519,3037.837587,READ_10,451174200,4,68,1,004,1,7,451174208,0
302,3037.837970,3037.838039,READ_10,383970872,4,69,1,004,1,8,383970880,0
303,3037.838218,3037.838304,READ_10,290533112,4,86,1,004,1,9,290533120,0
304,3037.838532,3037.838732,READ_10,286279936,52,200,1,002,1,10,286280040,0
305,3037.838536,3037.838740,READ_10,286280040,4,204,2,002,1,11,286280048,1
306,3037.838537,3037.838756,READ_10,286280048,8,219,3,002,1,12,286280064,1
307,3037.838538,3037.838873,READ_10,286280072,64,335,4,002,1,13,286280200,0
308,3037.838780,3037.838934,READ_10,286359368,4,154,2,002,1,14,286359376,0
309,3037.839004,3037.839070,READ_10,286359376,4,66,1,002,1,15,286359384,1
310,3037.839132,3037.839201,READ_10,286347088,4,69,1,002,1,16,286347096,0
311,3037.839222,3037.839305,READ_10,286348248,4,83,1,002,1,17,286348256,0
312,3037.839379,3037.839461,READ_10,286348256,4,82,1,002,1,18,286348264,1
313,3037.839839,3037.839981,READ_10,89131264,20,142,1,002,1,19,89131304,0
315,3037.839844,3037.840018,READ_10,89131312,20,174,3,002,1,21,89131352,0
314,3037.839843,3037.840027,READ_10,89131304,4,184,2,002,1,20,89131312,0
316,3037.839846,3037.840172,READ_10,89131368,80,326,4,002,1,22,89131528,0
317,3037.840058,3037.840231,READ_10,89197536,4,173,2,002,1,23,89197544,0
318,3037.840408,3037.840633,READ_10,89132032,72,225,1,002,1,31,89132176,0
320,3037.840412,3037.840663,READ_10,89132208,16,251,3,002,1,1,89132240,0
322,3037.840415,3037.840707,READ_10,89132248,24,292,5,002,1,3,89132296,0
319,3037.840411,3037.840723,READ_10,89132184,8,312,2,002,1,0,89132200,0
321,3037.840413,3037.840732,READ_10,89132240,4,319,4,002,1,2,89132248,0
323,3037.840832,3037.840900,READ_10,55316648,4,68,1,002,1,4,55316656,0
324,3037.841002,3037.841068,READ_10,286352504,4,66,1,002,1,5,286352512,0
325,3037.841090,3037.841168,READ_10,286352648,4,78,1,002,1,6,286352656,0
326,3037.841204,3037.841283,READ_10,286352664,4,79,1,002,1,7,286352672,0
327,3037.841718,3037.841993,READ_10,286263552,72,275,1,002,1,8,286263696,0
328,3037.841722,3037.842065,READ_10,286263704,40,343,2,002,1,9,286263784,0
