sec,queue_cnt,count
1048,13,3
1048,14,6
1048,15,5
1048,16,3
1048,17,3
1048,18,4
1048,19,4
1048,20,4
1048,21,7
1048,22,10
1048,23,10
1048,24,18
1048,25,40
1048,26,83
1048,27,191
1048,28,498
1048,29,1035
1048,30,2302
1048,31,4482
1048,32,8541
1049,1,0
1049,2,0
1049,3,0
1049,4,0
1049,5,0
1049,6,0
1049,7,0
1049,8,0
1049,9,0
1049,10,0
1049,11,0
1049,12,0
1049,13,1
1049,14,1
1049,15,1
1049,16,1
1049,17,1
1049,18,1
1049,19,1
1049,20,5
1049,21,5
1049,22,6
1049,23,13
1049,24,28
1049,25,57
1049,26,117
1049,27,251
1049,28,449
1049,29,1009
1049,30,2331
1049,31,4777
1049,32,9166
1050,1,0
1050,2,0
1050,3,0
1050,4,0
1050,5,0
1050,6,0
1050,7,0
1050,8,0
1050,9,0
1050,10,0
1050,11,0
1050,12,0
1050,13,0
1050,14,0
1050,15,0
1050,16,0
1050,17,1
1050,18,2
1050,19,3
1050,20,3
1050,21,3
1050,22,8
1050,23,11
1050,24,23
1050,25,43
1050,26,76
1050,27,139
1050,28,297
1050,29,581
1050,30,1313
1050,31,2970
1050,32,8794
1051,1,0
1051,2,0
1051,3,0
1051,4,0
1051,5,0
1051,6,0
1051,7,0
1051,8,0
1051,9,0
1051,10,0
1051,11,0
1051,12,0
1051,13,0
1051,14,0
1051,15,0
1051,16,0
1051,17,0
1051,18,0
1051,19,1
1051,20,1
1051,21,2
1051,22,3
1051,23,8
1051,24,10
1051,25,19
1051,26,67
1051,27,142
1051,28,287
1051,29,611
1051,30,1303
1051,31,2558
1051,32,6158
1052,1,0
1052,2,0
1052,3,0
1052,4,0
1052,5,0
1052,6,0
1052,7,0
1052,8,0
1052,9,0
1052,10,0
1052,11,0
1052,12,0
1052,13,0
1052,14,1
1052,15,1
1052,16,1
1052,17,1
1052,18,1
1052,19,1
1052,20,6
1052,21,6
1052,22,12
1052,23,19
1052,24,25
1052,25,37
1052,26,89
1052,27,187
1052,28,324
1052,29,649
1052,30,1256
1052,31,2635
1052,32,6037
1053,1,0
1053,2,0
1053,3,0
1053,4,0
1053,5,0
1053,6,1
1053,7,2
1053,8,3
1053,9,3
1053,10,2
1053,11,2
1053,12,1
1053,13,2
1053,14,4
1053,15,4
1053,16,5
1053,17,12
1053,18,20
1053,19,24
1053,20,36
1053,21,37
1053,22,38
1053,23,52
1053,24,67
1053,25,100
1053,26,136
1053,27,220
1053,28,358
1053,29,799
1053,30,1608
1053,31,3298
1053,32,6522
1054,1,0
1054,2,0
1054,3,2
1054,4,4
1054,5,3
1054,6,1
1054,7,1
1054,8,1
1054,9,4
1054,10,3
1054,11,1
1054,12,3
1054,13,6
1054,14,9
1054,15,13
1054,16,18
1054,17,24
1054,18,33
1054,19,38
1054,20,57
1054,21,60
1054,22,65
1054,23,82
1054,24,102
1054,25,136
1054,26,207
1054,27,341
1054,28,556
1054,29,900
1054,30,1584
1054,31,3316
1054,32,7797
1055,1,0
1055,2,0
1055,3,2
1055,4,2
1055,5,2
1055,6,2
1055,7,4
1055,8,4
1055,9,3
1055,10,3
1055,11,6
1055,12,12
1055,13,17
1055,14,19
1055,15,22
1055,16,28
1055,17,26
1055,18,37
1055,19,38
1055,20,45
1055,21,52
1055,22,68
1055,23,101
1055,24,121
1055,25,160
1055,26,254
1055,27,456
1055,28,853
1055,29,1591
1055,30,3149
1055,31,6161
1055,32,13373
1056,1,20
1056,2,8
1056,3,9
1056,4,8
1056,5,9
1056,6,11
1056,7,9
1056,8,10
1056,9,12
1056,10,11
1056,11,12
1056,12,10
1056,13,11
1056,14,13
1056,15,15
1056,16,22
1056,17,23
1056,18,26
1056,19,31
1056,20,30
1056,21,43
1056,22,51
1056,23,75
1056,24,109
1056,25,163
1056,26,224
1056,27,378
1056,28,717
1056,29,1295
1056,30,2072
1056,31,3933
1056,32,9436
1057,1,0
1057,2,0
1057,3,0
1057,4,0
1057,5,0
1057,6,0
1057,7,0
1057,8,0
1057,9,0
1057,10,0
1057,11,0
1057,12,1
1057,13,1
1057,14,4
1057,15,3
1057,16,6
1057,17,9
1057,18,8
1057,19,12
1057,20,15
1057,21,26
1057,22,30
1057,23,42
1057,24,72
1057,25,132
1057,26,205
1057,27,384
1057,28,671
1057,29,1070
1057,30,1650
1057,31,2827
1057,32,7163
1058,1,4
1058,2,4
1058,3,5
1058,4,6
1058,5,6
1058,6,6
1058,7,9
1058,8,12
1058,9,14
1058,10,13
1058,11,14
1058,12,10
1058,13,12
1058,14,14
1058,15,19
