time,latency(us),0
1053,19276.4,10
1053,24095.5,0
1053,28914.6,0
1053,33733.7,0
1053,38552.8,0
1053,43371.9,0
1053,48191,0
1053,53010.1,0
1053,57829.2,0
1053,62648.3,0
1053,67467.4,0
1053,72286.5,0
1053,77105.6,0
1053,81924.7,0
1053,86743.8,0
1053,91562.9,0
1053,96382,0
1054,4819.1,14044
1054,9638.2,1079
1054,14457.3,217
1054,19276.4,23
1054,24095.5,4
1054,28914.6,0
1054,33733.7,0
1054,38552.8,0
1054,43371.9,0
1054,48191,0
1054,53010.1,0
1054,57829.2,0
1054,62648.3,0
1054,67467.4,0
1054,72286.5,0
1054,77105.6,0
1054,81924.7,0
1054,86743.8,0
1054,91562.9,0
1054,96382,0
1055,4819.1,25901
1055,9638.2,675
1055,14457.3,33
1055,19276.4,0
1055,24095.5,0
1055,28914.6,0
1055,33733.7,0
1055,38552.8,0
1055,43371.9,0
1055,48191,0
1055,53010.1,0
1055,57829.2,0
1055,62648.3,0
1055,67467.4,0
1055,72286.5,0
1055,77105.6,0
1055,81924.7,0
1055,86743.8,0
1055,91562.9,0
1055,96382,0
1056,4819.1,17085
1056,9638.2,1539
1056,14457.3,164
1056,19276.4,8
1056,24095.5,0
1056,28914.6,0
1056,33733.7,0
1056,38552.8,0
1056,43371.9,0
1056,48191,0
1056,53010.1,0
1056,57829.2,0
1056,62648.3,0
1056,67467.4,0
1056,72286.5,0
1056,77105.6,0
1056,81924.7,0
1056,86743.8,0
1056,91562.9,0
1056,96382,0
1057,4819.1,12193
1057,9638.2,1611
1057,14457.3,450
1057,19276.4,45
1057,24095.5,31
1057,28914.6,0
1057,33733.7,0
1057,38552.8,0
1057,43371.9,0
1057,48191,0
1057,53010.1,0
1057,57829.2,0
1057,62648.3,0
1057,67467.4,0
1057,72286.5,0
1057,77105.6,0
1057,81924.7,0
1057,86743.8,0
1057,91562.9,0
1057,96382,0
1058,4819.1,13244
1058,9638.2,1570
1058,14457.3,371
1058,19276.4,33
1058,24095.5,39
1058,28914.6,0
1058,33733.7,0
1058,38552.8,0
1058,43371.9,0
1058,48191,0
1058,53010.1,0
1058,57829.2,0
1058,62648.3,0
1058,67467.4,0
1058,72286.5,0
1058,77105.6,0
1058,81924.7,0
1058,86743.8,0
1058,91562.9,0
1058,96382,0
1059,4819.1,12938
1059,9638.2,1876
1059,14457.3,348
1059,19276.4,43
1059,24095.5,1
1059,28914.6,0
1059,33733.7,0
1059,38552.8,0
1059,43371.9,0
1059,48191,0
1059,53010.1,0
1059,57829.2,0
1059,62648.3,0
1059,67467.4,0
1059,72286.5,0
1059,77105.6,0
1059,81924.7,0
1059,86743.8,0
1059,91562.9,0
1059,96382,0
1060,4819.1,20627
1060,9638.2,1085
1060,14457.3,121
1060,19276.4,10
1060,24095.5,0
1060,28914.6,0
1060,33733.7,0
1060,38552.8,0
1060,43371.9,0
1060,48191,0
1060,53010.1,0
1060,57829.2,0
1060,62648.3,0
1060,67467.4,0
1060,72286.5,0
1060,77105.6,0
1060,81924.7,0
1060,86743.8,0
1060,91562.9,0
1060,96382,0
1061,4819.1,20671
1061,9638.2,266
1061,14457.3,9
1061,19276.4,0
1061,24095.5,0
1061,28914.6,0
1061,33733.7,0
1061,38552.8,0
1061,43371.9,0
1061,48191,0
1061,53010.1,0
1061,57829.2,0
1061,62648.3,0
1061,67467.4,0
1061,72286.5,0
1061,77105.6,0
1061,81924.7,0
1061,86743.8,0
1061,91562.9,0
1061,96382,0
1062,4819.1,10136
1062,9638.2,0
1062,14457.3,0
1062,19276.4,0
1062,24095.5,0
1062,28914.6,0
1062,33733.7,0
1062,38552.8,0
1062,43371.9,0
1062,48191,0
1062,53010.1,0
1062,57829.2,0
1062,62648.3,0
1062,67467.4,0
1062,72286.5,0
1062,77105.6,0
1062,81924.7,0
1062,86743.8,0
1062,91562.9,0
1062,96382,0
1063,4819.1,9705
1063,9638.2,0
1063,14457.3,0
1063,19276.4,0
1063,24095.5,0
1063,28914.6,0
1063,33733.7,0
1063,38552.8,0
1063,43371.9,0
1063,48191,0
1063,53010.1,0
1063,57829.2,0
1063,62648.3,0
1063,67467.4,0
1063,72286.5,0
1063,77105.6,0
1063,81924.7,0
1063,86743.8,0
1063,91562.9,0
1063,96382,0
1064,4819.1,8702
1064,9638.2,0
1064,14457.3,0
1064,19276.4,0
1064,24095.5,0
1064,28914.6,0
1064,33733.7,0
1064,38552.8,0
1064,43371.9,0
1064,48191,0
1064,53010.1,0
1064,57829.2,0
1064,62648.3,0
1064,67467.4,0
1064,72286.5,0
1064,77105.6,0
1064,81924.7,0
1064,86743.8,0
1064,91562.9,0
1064,96382,0
1065,4819.1,9258
1065,9638.2,0
1065,14457.3,0
1065,19276.4,0
1065,24095.5,0
1065,28914.6,0
1065,33733.7,0
1065,38552.8,0
1065,43371.9,0
1065,48191,0
1065,53010.1,0
1065,57829.2,0
1065,62648.3,0
1065,67467.4,0
1065,72286.5,0
1065,77105.6,0
1065,81924.7,0
1065,86743.8,0
1065,91562.9,0
1065,96382,0
1066,4819.1,9258
1066,9638.2,0
1066,14457.3,0
1066,19276.4,0
1066,24095.5,0
1066,28914.6,0
1066,33733.7,0
1066,38552.8,0
1066,43371.9,0
1066,48191,0
1066,53010.1,0
1066,57829.2,0
1066,62648.3,0
1066,67467.4,0
1066,72286.5,0
1066,77105.6,0
1066,81924.7,0
1066,86743.8,0
1066,91562.9,0
1066,96382,0
1067,4819.1,26538
1067,9638.2,598
1067,14457.3,0
1067,19276.4,0
1067,24095.5,0
1067,28914.6,0
1067,33733.7,0
1067,38552.8,0
1067,43371.9,0
1067,48191,0
1067,53010.1,0
1067,57829.2,0
1067,62648.3,0
1067,67467.4,0
1067,72286.5,0
1067,77105.6,0
1067,81924.7,0
1067,86743.8,0
1067,91562.9,0
1067,96382,0
1068,4819.1,20699
1068,9638.2,1012
1068,14457.3,121
1068,19276.4,37
1068,24095.5,8
1068,28914.6,0
1068,33733.7,0
1068,38552.8,0
1068,43371.9,0
1068,48191,0
1068,53010.1,0
1068,57829.2,0
1068,62648.3,0
1068,67467.4,0
1068,72286.5,0
1068,77105.6,0
1068,81924.7,0
1068,86743.8,0
1068,91562.9,0
1068,96382,0
1069,4819.1,16668
1069,9638.2,1409
1069,14457.3,260
1069,19276.4,30
1069,24095.5,0
1069,28914.6,0
1069,33733.7,0
1069,38552.8,0
1069,43371.9,0
1069,48191,0
1069,53010.1,0
1069,57829.2,0
1069,62648.3,0
1069,67467.4,0
1069,72286.5,0
1069,77105.6,0
1069,81924.7,0
1069,86743.8,0
1069,91562.9,0
1069,96382,0
1070,4819.1,12927
1070,9638.2,1791
1070,14457.3,343
1070,19276.4,60
1070,24095.5,0
1070,28914.6,0
1070,33733.7,0
1070,38552.8,0
1070,43371.9,0
1070,48191,0
1070,53010.1,0
1070,57829.2,0
1070,62648.3,0
1070,67467.4,0
1070,72286.5,0
1070,77105.6,0
1070,81924.7,0
1070,86743.8,0
1070,91562.9,0
1070,96382,0
1071,4819.1,10641
1071,9638.2,1587
1071,14457.3,473
1071,19276.4,84
1071,24095.5,2
1071,28914.6,0
1071,33733.7,0
1071,38552.8,0
1071,43371.9,0
1071,48191,0
1071,53010.1,0
1071,57829.2,0
1071,62648.3,0
1071,67467.4,0
1071,72286.5,0
1071,77105.6,0
1071,81924.7,0
1071,86743.8,0
1071,91562.9,0
1071,96382,0
1072,4819.1,17592
1072,9638.2,1231
1072,14457.3,329
1072,19276.4,14
1072,24095.5,0
1072,28914.6,0
1072,33733.7,0
1072,38552.8,0
1072,43371.9,0
1072,48191,0
1072,53010.1,0
1072,57829.2,0
1072,62648.3,0
1072,67467.4,0
1072,72286.5,0
1072,77105.6,0
1072,81924.7,0
1072,86743.8,0
1072,91562.9,0
1072,96382,0
1073,4819.1,25496
1073,9638.2,739
1073,14457.3,50
1073,19276.4,1
1073,24095.5,0
1073,28914.6,0
1073,33733.7,0
1073,38552.8,0
1073,43371.9,0
1073,48191,0
1073,53010.1,0
1073,57829.2,0
1073,62648.3,0
1073,67467.4,0
1073,72286.5,0
1073,77105.6,0
1073,81924.7,0
1073,86743.8,0
1073,91562.9,0
1073,96382,0
1074,4819.1,29702
1074,9638.2,268
1074,14457.3,0
1074,19276.4,0
1074,24095.5,0
1074,28914.6,0
1074,33733.7,0
1074,38552.8,0
1074,43371.9,0
1074,48191,0
1074,53010.1,0
1074,57829.2,0
1074,62648.3,0
1074,67467.4,0
1074,72286.5,0
1074,77105.6,0
1074,81924.7,0
1074,86743.8,0
1074,91562.9,0
1074,96382,0
1075,4819.1,26821
1075,9638.2,775
1075,14457.3,33
1075,19276.4,11
1075,24095.5,0
1075,28914.6,0
1075,33733.7,0
1075,38552.8,0
1075,43371.9,0
1075,48191,0
1075,53010.1,0
1075,57829.2,0
1075,62648.3,0
1075,67467.4,0
1075,72286.5,0
1075,77105.6,0
1075,81924.7,0
1075,86743.8,0
1075,91562.9,0
1075,96382,0
1076,4819.1,29781
1076,9638.2,488
1076,14457.3,1
1076,19276.4,0
1076,24095.5,0
1076,28914.6,0
1076,33733.7,0
1076,38552.8,0
1076,43371.9,0
1076,48191,0
1076,53010.1,0
1076,57829.2,0
1076,62648.3,0
1076,67467.4,0
1076,72286.5,0
1076,77105.6,0
1076,81924.7,0
1076,86743.8,0
1076,91562.9,0
1076,96382,0
1077,4819.1,29769
1077,9638.2,458
1077,14457.3,11
1077,19276.4,0
