timeStamp,throughput(MB/s)
1305.422341,204.5
1306.422341,194.5
1307.422341,221.203125
1308.422341,219.25
1309.422341,190.25
1310.422341,221.5
1311.422341,206.5
1312.422341,213.25
1313.422341,192.0
1314.422341,195.75
1315.422341,200.0
1316.422341,200.0
1317.422341,182.02734375
1318.422341,200.0
1319.422341,200.0
1320.422341,201.82421875
1321.422341,201.66796875
1322.422341,200.109375
1323.422341,200.109375
1324.422341,200.109375
1325.422341,221.4140625
1326.422341,178.8046875
1327.422341,206.4140625
1328.422341,239.5859375
1329.422341,1.25
1330.422341,0.69921875
1331.422341,1.25
1332.422341,1.25
1333.422341,1.25
1334.422341,1.25
1335.422341,0.16015625
1336.422341,0.00390625
1337.422341,0.01171875
1338.422341,0.00390625
1339.422341,8.2578125
1340.422341,0.1484375
1341.422341,0.00390625
1342.422341,0.0078125
1343.422341,0.00390625
1344.422341,0.078125
1345.422341,0.00390625
1346.422341,0.0078125
1465.97872,0.4670171054687504
