timeStamp,throughput(MB/s)
1035.422341,66.1796875
1036.422341,0.19140625
1037.422341,0.0078125
1038.422341,0.0078125
1039.422341,0.00390625
1040.422341,0.00390625
1041.422341,0.00390625
1042.422341,277.63671875
1043.422341,324.6171875
1044.422341,325.796875
1045.422341,315.33203125
1046.422341,323.51953125
1047.422341,319.56640625
1048.422341,317.51171875
1049.422341,320.36328125
1050.422341,322.7890625
1051.422341,319.99609375
1052.422341,319.18359375
1053.422341,325.19140625
1054.422341,315.57421875
1055.422341,307.1875
1056.422341,321.84375
1057.422341,317.13671875
1058.422341,327.640625
1059.422341,311.21875
1060.422341,318.3828125
1061.422341,325.8203125
1062.422341,83.18359375
1063.422341,40.546875
1064.422341,35.79296875
1065.422341,35.203125
1066.422341,36.9453125
1067.422341,139.86328125
1068.422341,324.4453125
1069.422341,324.14453125
1070.422341,317.8515625
1071.422341,315.42578125
1072.422341,319.12109375
1073.422341,321.9375
1074.422341,320.56640625
1075.422341,324.421875
1076.422341,319.68359375
1077.422341,326.8125
1078.422341,328.62890625
1079.422341,319.45703125
1080.422341,323.00390625
1081.422341,324.2265625
1082.422341,321.69921875
1083.422341,323.21875
1084.422341,316.48828125
1085.422341,329.0078125
1086.422341,324.359375
1087.422341,241.75
1088.422341,55.09765625
1089.422341,66.421875
1090.422341,69.9375
1091.422341,70.01953125
1092.422341,66.23046875
1093.422341,66.671875
1094.422341,67.58203125
1095.422341,69.39453125
1096.422341,69.828125
1097.422341,69.578125
1098.422341,47.3125
1099.422341,53.546875
1100.422341,251.38671875
1101.422341,120.32421875
1102.422341,110.66796875
1103.422341,219.82421875
1104.422341,235.63671875
1105.422341,167.640625
1106.422341,229.57421875
1107.422341,118.94921875
1108.422341,225.4765625
1109.422341,241.38671875
1110.422341,303.75
1111.422341,325.28515625
1112.422341,323.8828125
1113.422341,321.85546875
1114.422341,326.72265625
1115.422341,324.12890625
1116.422341,267.2578125
1117.422341,237.41015625
1118.422341,243.49609375
1119.422341,299.2578125
1120.422341,326.5390625
1121.422341,324.0703125
1122.422341,258.625
1123.422341,211.2734375
1124.422341,223.06640625
1125.422341,219.3203125
1126.422341,228.2578125
1127.422341,169.203125
1128.422341,64.90234375
1129.422341,69.18359375
1130.422341,69.70703125
1131.422341,69.61328125
1132.422341,78.2890625
1133.422341,65.515625
1134.422341,67.828125
1135.422341,67.7109375
1136.422341,64.2734375
1137.422341,105.0703125
1138.422341,68.5703125
1139.422341,69.984375
1140.422341,69.93359375
1141.422341,57.8203125
1142.422341,47.84375
1143.422341,252.83203125
1144.422341,324.63671875
1145.422341,324.5078125
1146.422341,332.953125
1147.422341,310.078125
1148.422341,328.09375
1149.422341,324.29296875
1150.422341,326.1484375
1151.422341,325.48046875
1152.422341,328.35546875
1153.422341,322.95703125
1154.422341,325.99609375
1155.422341,324.453125
1156.422341,324.890625
1157.422341,324.1953125
1158.422341,326.42578125
1159.422341,307.99609375
1160.422341,321.765625
1161.422341,323.95703125
1162.422341,327.63671875
1163.422341,129.63671875
1164.422341,39.73046875
1165.422341,43.53125
1166.422341,38.2421875
1167.422341,40.86328125
1168.422341,52.89453125
1169.422341,39.57421875
1170.422341,56.55078125
1171.422341,69.859375
1172.422341,69.55078125
1173.422341,53.22265625
1174.422341,55.8359375
1175.422341,69.69921875
1176.422341,69.71484375
1177.422341,58.50390625
1178.422341,41.0234375
1179.422341,41.02734375
1180.422341,39.578125
1181.422341,41.58984375
1182.422341,41.33203125
1183.422341,42.7578125
1184.422341,177.26953125
1185.422341,326.06640625
1186.422341,324.765625
1187.422341,308.91015625
1188.422341,276.453125
1189.422341,323.4296875
1190.422341,325.9375
1191.422341,297.19140625
1192.422341,204.1484375
1193.422341,219.91796875
1194.422341,317.0859375
1195.422341,209.4921875
1196.422341,216.15625
1197.422341,274.0
1198.422341,288.765625
1199.422341,290.8515625
1200.422341,319.57421875
1201.422341,333.171875
1202.422341,325.85546875
1203.422341,323.18359375
1204.422341,259.36328125
1205.422341,227.5546875
1206.422341,239.87109375
1207.422341,173.2890625
1208.422341,216.09375
1209.422341,207.0
1210.422341,182.75390625
1211.422341,217.5
1212.422341,214.0
1213.422341,201.5
1214.422341,217.2734375
1215.422341,137.76171875
1216.422341,207.27734375
1217.422341,224.86328125
1218.422341,215.1484375
1219.422341,256.70703125
1220.422341,264.65625
1221.422341,296.21875
1222.422341,107.69921875
1223.422341,169.6171875
1224.422341,148.09375
1225.422341,159.53515625
1226.422341,85.9765625
1227.422341,69.62109375
1228.422341,235.28515625
1229.422341,189.578125
1230.422341,174.9453125
1231.422341,195.58984375
1232.422341,154.71484375
1233.422341,183.60546875
1234.422341,222.16796875
1235.422341,201.58984375
1236.422341,69.08984375
1237.422341,69.5625
1238.422341,70.03125
1239.422341,69.73828125
1240.422341,94.97265625
1241.422341,145.00390625
1242.422341,146.3515625
1243.422341,69.84375
1244.422341,69.703125
1245.422341,69.59375
1246.422341,70.01953125
1247.422341,80.65234375
1248.422341,69.95703125
1249.422341,68.5234375
1250.422341,68.37890625
1251.422341,67.41015625
1252.422341,64.02734375
1253.422341,67.1015625
1254.422341,66.71875
1255.422341,66.8515625
1256.422341,67.61328125
1257.422341,69.26953125
1258.422341,30.625
1259.422341,119.80859375
1260.422341,221.33203125
1261.422341,210.30078125
1262.422341,225.5
1263.422341,187.55859375
1264.422341,186.5546875
1265.422341,210.5546875
1266.422341,200.5546875
1267.422341,194.30859375
1268.422341,227.3046875
1269.422341,255.9765625
1270.422341,254.5546875
1271.422341,230.48046875
1272.422341,194.8203125
1273.422341,231.484375
1274.422341,239.92578125
1275.422341,212.765625
1276.422341,175.3203125
1277.422341,208.18359375
1278.422341,238.25390625
1279.422341,171.0703125
1280.422341,103.3046875
1281.422341,87.2109375
1282.422341,134.47265625
1283.422341,97.625
1284.422341,54.9921875
1285.422341,98.6171875
1286.422341,49.96875
1287.422341,71.46484375
1288.422341,189.828125
1289.422341,133.1796875
1290.422341,55.30859375
1291.422341,1.25
1292.422341,1.25
1293.422341,1.25
1294.422341,38.75
1295.422341,101.5
1296.422341,1.25
1297.422341,1.25
1298.422341,1.25
1299.422341,1.25
1300.422341,46.25
1301.422341,208.0
1302.422341,215.75
1303.422341,209.75
1304.422341,215.0
